SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 02:41:54 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 03:35:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 02:46:58 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 03:40:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 02:52:03 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 03:45:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 02:57:08 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 03:50:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 03:02:12 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 03:55:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 03:07:17 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 04:00:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 03:12:21 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 04:05:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 03:17:26 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 04:10:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 07:51:35 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 08:45:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 07:56:39 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 08:50:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 08:01:44 | sygnal=BUY | numer_scenariusza=SC9 | godzina_brokera=2026-05-14 08:55:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 08:06:49 | sygnal=BUY | numer_scenariusza=SC9 | godzina_brokera=2026-05-14 09:00:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 08:11:54 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:05:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 08:17:01 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:10:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 08:22:05 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:15:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 08:27:10 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:20:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 08:32:14 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:25:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 08:37:19 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:30:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 08:42:23 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:35:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 08:47:27 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:40:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 08:50:00 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:45:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-14 08:55:04 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 09:50:00
